date,time,azi,elev,apmag,sbrt
2025-Jan-08,00:00,332.870696,-36.690757,19.485,n.a.
2025-Jan-08,00:30,340.608004,-39.472329,19.484,n.a.
2025-Jan-08,01:00,349.059587,-41.314788,19.484,n.a.
2025-Jan-08,01:30,357.964861,-42.109136,19.484,n.a.
2025-Jan-08,02:00,6.958122,-41.803342,19.483,n.a.
2025-Jan-08,02:30,15.651376,-40.417869,19.483,n.a.
2025-Jan-08,03:00,23.729952,-38.039396,19.483,n.a.
2025-Jan-08,03:30,31.007809,-34.796758,19.482,n.a.
2025-Jan-08,04:00,37.425688,-30.832716,19.482,n.a.
2025-Jan-08,04:30,43.014392,-26.282824,19.481,n.a.
2025-Jan-08,05:00,47.852808,-21.264568,19.481,n.a.
2025-Jan-08,05:30,52.036438,-15.874443,19.481,n.a.
2025-Jan-08,06:00,55.658912,-10.189387,19.480,n.a.
2025-Jan-08,06:30,58.803133,-4.269895,19.480,n.a.
2025-Jan-08,07:00,61.538038,1.836621,19.479,n.a.
2025-Jan-08,07:30,63.918056,8.092849,19.479,n.a.
2025-Jan-08,08:00,65.983427,14.469129,19.479,n.a.
2025-Jan-08,08:30,67.760285,20.94149,19.478,n.a.
2025-Jan-08,09:00,69.259659,27.49008,19.478,n.a.
2025-Jan-08,09:30,70.474381,34.097824,19.477,n.a.
2025-Jan-08,10:00,71.372054,40.749131,19.477,n.a.
2025-Jan-08,10:30,71.880065,47.428345,19.477,n.a.
2025-Jan-08,11:00,71.852779,54.117299,19.476,n.a.
2025-Jan-08,11:30,70.993615,60.79028,19.476,n.a.
2025-Jan-08,12:00,68.64476,67.400982,19.476,n.a.
2025-Jan-08,14:00,319.543747,81.270956,19.474,n.a.
2025-Jan-08,16:00,288.352646,56.184546,19.472,n.a.
2025-Jan-08,16:30,288.111962,49.498953,19.472,n.a.
2025-Jan-08,17:00,288.47646,42.816711,19.472,n.a.
2025-Jan-08,17:30,289.265708,36.157605,19.471,n.a.
2025-Jan-08,18:00,290.389358,29.537772,19.471,n.a.
2025-Jan-08,18:30,291.804755,22.972679,19.470,n.a.
2025-Jan-08,19:00,293.497957,16.478856,19.470,n.a.
2025-Jan-08,19:30,295.47483,10.075224,19.470,n.a.
2025-Jan-08,20:00,297.756994,3.784404,19.469,n.a.
2025-Jan-08,20:30,300.38029,-2.365803,19.469,n.a.
2025-Jan-08,21:00,303.394593,-8.340593,19.469,n.a.
2025-Jan-08,21:30,306.864117,-14.095876,19.468,n.a.
2025-Jan-08,22:00,310.867233,-19.575468,19.468,n.a.
2025-Jan-08,22:30,315.494246,-24.707842,19.467,n.a.
2025-Jan-08,23:00,320.840584,-29.402881,19.467,n.a.
2025-Jan-08,23:30,326.991706,-33.549777,19.467,n.a.
2025-Jan-09,00:00,333.995911,-37.018341,19.466,n.a.
2025-Jan-09,00:30,341.825086,-39.667091,19.466,n.a.
2025-Jan-09,01:00,350.334399,-41.36115,19.466,n.a.
2025-Jan-09,01:30,359.247016,-41.998886,19.465,n.a.
2025-Jan-09,02:00,8.191284,-41.538439,19.465,n.a.
2025-Jan-09,02:30,16.78753,-40.010299,19.464,n.a.
2025-Jan-09,03:00,24.739456,-37.508059,19.464,n.a.
2025-Jan-09,03:30,31.880764,-34.163196,19.464,n.a.
2025-Jan-09,04:00,38.166882,-30.117636,19.463,n.a.
2025-Jan-09,04:30,43.63661,-25.504196,19.463,n.a.
2025-Jan-09,05:00,48.371544,-20.43706,19.462,n.a.
2025-Jan-09,05:30,52.466744,-15.009623,19.462,n.a.
2025-Jan-09,06:00,56.013895,-9.296229,19.462,n.a.
2025-Jan-09,06:30,59.093433,-3.355336,19.461,n.a.
2025-Jan-09,07:00,61.771775,2.767191,19.461,n.a.
2025-Jan-09,07:30,64.100915,9.035184,19.461,n.a.
2025-Jan-09,08:00,66.118714,15.419809,19.460,n.a.
2025-Jan-09,08:30,67.848813,21.897666,19.460,n.a.
2025-Jan-09,09:00,69.299341,28.449258,19.459,n.a.
2025-Jan-09,09:30,70.4593,35.057659,19.459,n.a.
2025-Jan-09,10:00,71.290554,41.707185,19.459,n.a.
2025-Jan-09,10:30,71.710822,48.381729,19.458,n.a.
2025-Jan-09,11:00,71.556198,55.062005,19.458,n.a.
2025-Jan-09,11:30,70.490978,61.719671,19.457,n.a.
2025-Jan-09,12:00,67.759727,68.301582,19.457,n.a.
2025-Jan-09,12:30,61.367755,74.675915,19.457,n.a.
2025-Jan-09,13:00,44.79619,80.382203,19.456,n.a.
2025-Jan-09,14:00,315.907839,80.501459,19.455,n.a.
2025-Jan-09,16:00,288.506887,55.227319,19.454,n.a.
2025-Jan-09,16:30,288.336387,48.549026,19.453,n.a.
2025-Jan-09,17:00,288.74656,41.876313,19.453,n.a.
2025-Jan-09,17:30,289.570753,35.228625,19.453,n.a.
2025-Jan-09,18:00,290.725288,28.622148,19.452,n.a.
2025-Jan-09,18:30,292.171222,22.072599,19.452,n.a.
2025-Jan-09,19:00,293.897021,15.596915,19.452,n.a.
2025-Jan-09,19:30,295.910395,9.214582,19.451,n.a.
2025-Jan-09,20:00,298.234595,2.948965,19.451,n.a.
2025-Jan-09,20:30,300.907065,-3.171165,19.450,n.a.
2025-Jan-09,21:00,303.979308,-9.109753,19.450,n.a.
2025-Jan-09,21:30,307.517134,-14.821109,19.450,n.a.
2025-Jan-09,22:00,311.600232,-20.247049,19.449,n.a.
2025-Jan-09,22:30,316.31941,-25.313634,19.449,n.a.
2025-Jan-09,23:00,321.768811,-29.928053,19.448,n.a.
2025-Jan-09,23:30,328.029323,-33.976896,19.448,n.a.
2025-Jan-10,00:00,335.139722,-37.328274,19.448,n.a.
2025-Jan-10,00:30,343.056731,-39.841167,19.447,n.a.
2025-Jan-10,01:00,351.617086,-41.384657,19.447,n.a.
2025-Jan-10,01:30,0.528822,-41.864992,19.447,n.a.
2025-Jan-10,02:00,9.416365,-41.250638,19.446,n.a.
2025-Jan-10,02:30,17.910169,-39.581793,19.446,n.a.
2025-Jan-10,03:00,25.732915,-36.958367,19.445,n.a.
2025-Jan-10,03:30,32.737519,-33.513919,19.445,n.a.
2025-Jan-10,04:00,38.893124,-29.389197,19.445,n.a.
2025-Jan-10,04:30,44.245676,-24.714151,19.444,n.a.
2025-Jan-10,05:00,48.878949,-19.599668,19.444,n.a.
2025-Jan-10,05:30,52.887291,-14.136105,19.444,n.a.
2025-Jan-10,06:00,56.360343,-8.39529,19.443,n.a.
2025-Jan-10,06:30,59.376056,-2.433712,19.443,n.a.
2025-Jan-10,07:00,61.998327,3.704253,19.442,n.a.
2025-Jan-10,07:30,64.276722,9.983534,19.442,n.a.
2025-Jan-10,08:00,66.246695,16.376087,19.442,n.a.
2025-Jan-10,08:30,67.929333,22.85905,19.441,n.a.
2025-Jan-10,09:00,69.329724,29.41325,19.441,n.a.
2025-Jan-10,09:30,70.432776,36.021872,19.440,n.a.
2025-Jan-10,10:00,71.1941,42.669084,19.440,n.a.
2025-Jan-10,10:30,71.52071,49.338233,19.440,n.a.
2025-Jan-10,11:00,71.228134,56.008718,19.439,n.a.
2025-Jan-10,11:30,69.935838,62.649092,19.439,n.a.
2025-Jan-10,12:00,66.774124,69.197987,19.438,n.a.
2025-Jan-10,12:30,59.394305,75.496606,19.438,n.a.
2025-Jan-10,13:00,40.050369,80.966083,19.438,n.a.
