date,time,azi,elev,apmag,sbrt
2025-01-08,00:00,289.0378,-22.510328,19.485,n.a.
2025-01-08,00:30,286.060232,-28.641019,19.484,n.a.
2025-01-08,01:00,283.158742,-34.862807,19.484,n.a.
2025-01-08,01:30,280.274398,-41.158274,19.484,n.a.
2025-01-08,02:00,277.331273,-47.511736,19.483,n.a.
2025-01-08,02:30,274.217793,-53.908074,19.483,n.a.
2025-01-08,03:00,270.744689,-60.330798,19.482,n.a.
2025-01-08,03:30,266.534778,-66.757695,19.482,n.a.
2025-01-08,04:00,260.668379,-73.147404,19.482,n.a.
2025-01-08,04:30,250.13133,-79.37959,19.481,n.a.
2025-01-08,05:00,219.266401,-84.777606,19.481,n.a.
2025-01-08,05:30,139.977062,-84.727453,19.481,n.a.
2025-01-08,06:00,109.630551,-79.305929,19.48,n.a.
2025-01-08,06:30,99.192756,-73.070837,19.48,n.a.
2025-01-08,07:00,93.356638,-66.681297,19.479,n.a.
2025-01-08,07:30,89.158774,-60.255695,19.479,n.a.
2025-01-08,08:00,85.690836,-53.834996,19.479,n.a.
2025-01-08,08:30,82.579219,-47.441316,19.478,n.a.
2025-01-08,09:00,79.636047,-41.091137,19.478,n.a.
2025-01-08,09:30,76.750364,-34.799609,19.478,n.a.
2025-01-08,10:00,73.846545,-28.582469,19.477,n.a.
2025-01-08,10:30,70.865807,-22.457208,19.477,n.a.
2025-01-08,11:00,67.756948,-16.444029,19.476,n.a.
2025-01-08,11:30,64.471189,-10.566805,19.476,n.a.
2025-01-08,12:00,60.959116,-4.854146,19.476,n.a.
2025-01-08,12:30,57.168908,0.659389,19.475,n.a.
2025-01-08,13:00,53.045679,5.931921,19.475,n.a.
2025-01-08,13:30,48.532179,10.912806,19.474,n.a.
2025-01-08,14:00,43.57143,15.541313,19.474,n.a.
2025-01-08,14:30,38.112139,19.745824,19.474,n.a.
2025-01-08,17:30,355.479974,31.333881,19.471,n.a.
2025-01-08,18:00,347.766031,30.393122,19.471,n.a.
2025-01-08,18:30,340.35541,28.62258,19.47,n.a.
2025-01-08,19:00,333.38534,26.091775,19.47,n.a.
2025-01-08,19:30,326.934985,22.887496,19.47,n.a.
2025-01-08,20:00,321.030111,19.102061,19.469,n.a.
2025-01-08,20:30,315.656351,14.824484,19.469,n.a.
2025-01-08,21:00,310.774059,10.135274,19.469,n.a.
2025-01-08,21:30,306.330598,5.10428,19.468,n.a.
2025-01-08,22:00,302.268769,-0.209468,19.468,n.a.
2025-01-08,22:30,298.531725,-5.75684,19.467,n.a.
2025-01-08,23:00,295.065262,-11.497244,19.467,n.a.
2025-01-08,23:30,291.818282,-17.397178,19.467,n.a.
2025-01-09,00:00,288.741988,-23.428896,19.466,n.a.
2025-01-09,00:30,285.787985,-29.569213,19.466,n.a.
2025-01-09,01:00,282.905053,-35.798473,19.465,n.a.
2025-01-09,01:30,280.03369,-42.09961,19.465,n.a.
2025-01-09,02:00,277.096162,-48.4572,19.465,n.a.
2025-01-09,02:30,273.976328,-54.856268,19.464,n.a.
2025-01-09,03:00,270.473241,-61.28027,19.464,n.a.
2025-01-09,03:30,266.176222,-67.706356,19.464,n.a.
2025-01-09,04:00,260.046759,-74.0901,19.463,n.a.
2025-01-09,04:30,248.46377,-80.292361,19.463,n.a.
2025-01-09,05:00,210.867132,-85.415915,19.462,n.a.
2025-01-09,05:30,131.729538,-84.190521,19.462,n.a.
2025-01-09,06:00,106.975208,-78.494039,19.462,n.a.
2025-01-09,06:30,97.777357,-72.209408,19.461,n.a.
2025-01-09,07:00,92.376664,-65.806835,19.461,n.a.
2025-01-09,07:30,88.379805,-59.379727,19.461,n.a.
2025-01-09,08:00,85.018735,-52.963055,19.46,n.a.
2025-01-09,08:30,81.9675,-46.576992,19.46,n.a.
2025-01-09,09:00,79.058013,-40.237335,19.459,n.a.
2025-01-09,09:30,76.188666,-33.959071,19.459,n.a.
2025-01-09,10:00,73.288603,-27.758045,19.459,n.a.
2025-01-09,10:30,70.301563,-21.65204,19.458,n.a.
2025-01-09,11:00,67.177636,-15.661709,19.458,n.a.
2025-01-09,11:30,63.868633,-9.811532,19.457,n.a.
2025-01-09,12:00,60.32532,-4.130888,19.457,n.a.
2025-01-09,12:30,56.49586,1.344712,19.457,n.a.
2025-01-09,13:00,52.325373,6.57225,19.456,n.a.
2025-01-09,13:30,47.756899,11.499779,19.456,n.a.
2025-01-09,14:00,42.734391,16.065155,19.455,n.a.
2025-01-09,14:30,37.208599,20.195394,19.455,n.a.
2025-01-09,15:00,31.146631,23.807346,19.455,n.a.
2025-01-09,17:30,354.384347,31.118035,19.453,n.a.
2025-01-09,18:00,346.722742,30.05854,19.452,n.a.
2025-01-09,18:30,339.38514,28.179521,19.452,n.a.
