date,time,azi,elev,apmag,sbrt,observatory
2025-01-08,00:00,332.870696,-36.690757,19.485,n.a.,hf
2025-01-08,00:00,289.0378,-22.510328,19.485,n.a.,ssf
2025-01-08,00:30,340.608004,-39.472329,19.484,n.a.,hf
2025-01-08,00:30,286.060232,-28.641019,19.484,n.a.,ssf
2025-01-08,01:00,349.059587,-41.314788,19.484,n.a.,hf
2025-01-08,01:00,283.158742,-34.862807,19.484,n.a.,ssf
2025-01-08,01:30,357.964861,-42.109136,19.484,n.a.,hf
2025-01-08,01:30,280.274398,-41.158274,19.484,n.a.,ssf
2025-01-08,02:00,6.958122,-41.803342,19.483,n.a.,hf
2025-01-08,02:00,277.331273,-47.511736,19.483,n.a.,ssf
2025-01-08,02:30,15.651376,-40.417869,19.483,n.a.,hf
2025-01-08,02:30,274.217793,-53.908074,19.483,n.a.,ssf
2025-01-08,03:00,23.729952,-38.039396,19.483,n.a.,hf
2025-01-08,03:00,270.744689,-60.330798,19.482,n.a.,ssf
2025-01-08,03:30,31.007809,-34.796758,19.482,n.a.,hf
2025-01-08,03:30,266.534778,-66.757695,19.482,n.a.,ssf
2025-01-08,04:00,37.425688,-30.832716,19.482,n.a.,hf
2025-01-08,04:00,260.668379,-73.147404,19.482,n.a.,ssf
2025-01-08,04:30,43.014392,-26.282824,19.481,n.a.,hf
2025-01-08,04:30,250.13133,-79.37959,19.481,n.a.,ssf
2025-01-08,05:00,47.852808,-21.264568,19.481,n.a.,hf
2025-01-08,05:00,219.266401,-84.777606,19.481,n.a.,ssf
2025-01-08,05:30,52.036438,-15.874443,19.481,n.a.,hf
2025-01-08,05:30,139.977062,-84.727453,19.481,n.a.,ssf
2025-01-08,06:00,55.658912,-10.189387,19.48,n.a.,hf
2025-01-08,06:00,109.630551,-79.305929,19.48,n.a.,ssf
2025-01-08,06:30,58.803133,-4.269895,19.48,n.a.,hf
2025-01-08,06:30,99.192756,-73.070837,19.48,n.a.,ssf
2025-01-08,07:00,61.538038,1.836621,19.479,n.a.,hf
2025-01-08,07:00,93.356638,-66.681297,19.479,n.a.,ssf
2025-01-08,07:30,63.918056,8.092849,19.479,n.a.,hf
2025-01-08,07:30,89.158774,-60.255695,19.479,n.a.,ssf
2025-01-08,08:00,65.983427,14.469129,19.479,n.a.,hf
2025-01-08,08:00,85.690836,-53.834996,19.479,n.a.,ssf
2025-01-08,08:30,67.760285,20.94149,19.478,n.a.,hf
2025-01-08,08:30,82.579219,-47.441316,19.478,n.a.,ssf
2025-01-08,09:00,69.259659,27.49008,19.478,n.a.,hf
2025-01-08,09:00,79.636047,-41.091137,19.478,n.a.,ssf
2025-01-08,09:30,70.474381,34.097824,19.477,n.a.,hf
2025-01-08,09:30,76.750364,-34.799609,19.478,n.a.,ssf
2025-01-08,10:00,71.372054,40.749131,19.477,n.a.,hf
2025-01-08,10:00,73.846545,-28.582469,19.477,n.a.,ssf
2025-01-08,10:30,71.880065,47.428345,19.477,n.a.,hf
2025-01-08,10:30,70.865807,-22.457208,19.477,n.a.,ssf
2025-01-08,11:00,71.852779,54.117299,19.476,n.a.,hf
2025-01-08,11:00,67.756948,-16.444029,19.476,n.a.,ssf
2025-01-08,11:30,70.993615,60.79028,19.476,n.a.,hf
2025-01-08,11:30,64.471189,-10.566805,19.476,n.a.,ssf
2025-01-08,12:00,68.64476,67.400982,19.476,n.a.,hf
2025-01-08,12:00,60.959116,-4.854146,19.476,n.a.,ssf
2025-01-08,12:30,57.168908,0.659389,19.475,n.a.,ssf
2025-01-08,13:00,53.045679,5.931921,19.475,n.a.,ssf
2025-01-08,13:30,48.532179,10.912806,19.474,n.a.,ssf
2025-01-08,14:00,319.543747,81.270956,19.474,n.a.,hf
2025-01-08,14:00,43.57143,15.541313,19.474,n.a.,ssf
2025-01-08,14:30,38.112139,19.745824,19.474,n.a.,ssf
2025-01-08,16:00,288.352646,56.184546,19.472,n.a.,hf
2025-01-08,16:30,288.111962,49.498953,19.472,n.a.,hf
2025-01-08,17:00,288.47646,42.816711,19.472,n.a.,hf
2025-01-08,17:30,289.265708,36.157605,19.471,n.a.,hf
2025-01-08,17:30,355.479974,31.333881,19.471,n.a.,ssf
2025-01-08,18:00,290.389358,29.537772,19.471,n.a.,hf
2025-01-08,18:00,347.766031,30.393122,19.471,n.a.,ssf
2025-01-08,18:30,291.804755,22.972679,19.47,n.a.,hf
2025-01-08,18:30,340.35541,28.62258,19.47,n.a.,ssf
2025-01-08,19:00,293.497957,16.478856,19.47,n.a.,hf
2025-01-08,19:00,333.38534,26.091775,19.47,n.a.,ssf
2025-01-08,19:30,295.47483,10.075224,19.47,n.a.,hf
2025-01-08,19:30,326.934985,22.887496,19.47,n.a.,ssf
2025-01-08,20:00,297.756994,3.784404,19.469,n.a.,hf
2025-01-08,20:00,321.030111,19.102061,19.469,n.a.,ssf
2025-01-08,20:30,300.38029,-2.365803,19.469,n.a.,hf
2025-01-08,20:30,315.656351,14.824484,19.469,n.a.,ssf
2025-01-08,21:00,303.394593,-8.340593,19.469,n.a.,hf
2025-01-08,21:00,310.774059,10.135274,19.469,n.a.,ssf
2025-01-08,21:30,306.864117,-14.095876,19.468,n.a.,hf
2025-01-08,21:30,306.330598,5.10428,19.468,n.a.,ssf
2025-01-08,22:00,310.867233,-19.575468,19.468,n.a.,hf
2025-01-08,22:00,302.268769,-0.209468,19.468,n.a.,ssf
2025-01-08,22:30,315.494246,-24.707842,19.467,n.a.,hf
2025-01-08,22:30,298.531725,-5.75684,19.467,n.a.,ssf
2025-01-08,23:00,320.840584,-29.402881,19.467,n.a.,hf
