date,time,azi,elev,apmag,sbrt
2025-Jan-08,00:00,45.094845,-33.508355,19.245,n.a.
2025-Jan-08,00:30,50.589599,-28.286224,19.245,n.a.
2025-Jan-08,01:00,55.277562,-22.666557,19.246,n.a.
2025-Jan-08,01:30,59.30538,-16.74161,19.246,n.a.
2025-Jan-08,02:00,62.798438,-10.580583,19.247,n.a.
2025-Jan-08,02:30,65.859373,-4.235316,19.247,n.a.
2025-Jan-08,03:00,68.570546,2.25513,19.248,n.a.
2025-Jan-08,03:30,70.997576,8.861034,19.248,n.a.
2025-Jan-08,04:00,73.192746,15.559508,19.249,n.a.
2025-Jan-08,04:30,75.197874,22.33269,19.249,n.a.
2025-Jan-08,05:00,77.046588,29.166443,19.250,n.a.
2025-Jan-08,05:30,78.766044,36.049405,19.250,n.a.
2025-Jan-08,06:00,80.378138,42.972305,19.251,n.a.
2025-Jan-08,06:30,81.900193,49.927445,19.251,n.a.
2025-Jan-08,07:00,83.344868,56.908321,19.252,n.a.
2025-Jan-08,07:30,84.718386,63.90932,19.252,n.a.
2025-Jan-08,08:00,86.013199,70.925489,19.253,n.a.
2025-Jan-08,08:30,87.172998,77.952312,19.253,n.a.
2025-Jan-08,09:00,87.759407,84.98523,19.254,n.a.
2025-Jan-08,09:30,273.581761,87.973952,19.255,n.a.
2025-Jan-08,10:00,272.434812,80.941118,19.255,n.a.
2025-Jan-08,10:30,273.471557,73.911114,19.256,n.a.
2025-Jan-08,11:00,274.72201,66.88991,19.256,n.a.
2025-Jan-08,11:30,276.064411,59.881929,19.257,n.a.
2025-Jan-08,12:00,277.478637,52.891909,19.257,n.a.
2025-Jan-08,16:00,292.952127,-1.49134,19.262,n.a.
2025-Jan-08,16:30,295.855519,-7.902247,19.262,n.a.
2025-Jan-08,17:00,299.153752,-14.14682,19.263,n.a.
2025-Jan-08,17:30,302.940428,-20.179136,19.263,n.a.
2025-Jan-08,18:00,307.331103,-25.938007,19.264,n.a.
2025-Jan-08,18:30,312.463986,-31.341727,19.264,n.a.
2025-Jan-08,19:00,318.493749,-36.281993,19.265,n.a.
2025-Jan-08,19:30,325.570242,-40.618609,19.265,n.a.
2025-Jan-08,20:00,333.791062,-44.179088,19.266,n.a.
2025-Jan-08,20:30,343.123282,-46.770618,19.266,n.a.
2025-Jan-08,21:00,353.319099,-48.212114,19.267,n.a.
2025-Jan-08,21:30,3.895976,-48.383675,19.267,n.a.
2025-Jan-08,22:00,14.247611,-47.269981,19.268,n.a.
2025-Jan-08,22:30,23.842388,-44.966445,19.268,n.a.
