date,time,azi,elev,apmag,sbrt
2025-Jan-08,00:00,236.716985,-72.629716,19.245,n.a.
2025-Jan-08,00:30,216.217525,-77.343287,19.245,n.a.
2025-Jan-08,01:00,182.246443,-79.538585,19.246,n.a.
2025-Jan-08,01:30,147.016992,-77.767066,19.246,n.a.
2025-Jan-08,02:00,125.100645,-73.246895,19.247,n.a.
2025-Jan-08,02:30,112.467263,-67.593357,19.247,n.a.
2025-Jan-08,03:00,104.292523,-61.48617,19.248,n.a.
2025-Jan-08,03:30,98.334429,-55.179485,19.248,n.a.
2025-Jan-08,04:00,93.569936,-48.783513,19.249,n.a.
2025-Jan-08,04:30,89.48429,-42.355382,19.249,n.a.
2025-Jan-08,05:00,85.789669,-35.930411,19.250,n.a.
2025-Jan-08,05:30,82.308031,-29.534521,19.250,n.a.
2025-Jan-08,06:00,78.917716,-23.189947,19.251,n.a.
2025-Jan-08,06:30,75.526783,-16.918351,19.251,n.a.
2025-Jan-08,07:00,72.058462,-10.742891,19.252,n.a.
2025-Jan-08,07:30,68.442528,-4.689908,19.252,n.a.
2025-Jan-08,08:00,64.609757,1.209397,19.253,n.a.
2025-Jan-08,08:30,60.488266,6.917148,19.253,n.a.
2025-Jan-08,09:00,56.001386,12.386705,19.254,n.a.
2025-Jan-08,09:30,51.067396,17.560344,19.255,n.a.
2025-Jan-08,10:00,45.602134,22.366883,19.255,n.a.
2025-Jan-08,10:30,39.526238,26.71984,19.256,n.a.
2025-Jan-08,11:00,32.779086,30.517202,19.256,n.a.
2025-Jan-08,11:30,25.340605,33.644616,19.257,n.a.
2025-Jan-08,12:00,17.258236,35.984085,19.257,n.a.
2025-Jan-08,12:30,8.6691,37.429241,19.258,n.a.
2025-Jan-08,13:00,359.800942,37.90497,19.258,n.a.
2025-Jan-08,13:30,350.939428,37.384772,19.259,n.a.
2025-Jan-08,14:00,342.368779,35.89758,19.259,n.a.
2025-Jan-08,14:30,334.313109,33.520329,19.260,n.a.
2025-Jan-08,18:00,295.215185,0.94862,19.264,n.a.
2025-Jan-08,18:30,291.393833,-4.958313,19.264,n.a.
2025-Jan-08,19:00,287.786217,-11.017394,19.265,n.a.
2025-Jan-08,19:30,284.323167,-17.197682,19.265,n.a.
2025-Jan-08,20:00,280.934313,-23.473013,19.266,n.a.
2025-Jan-08,20:30,277.542445,-29.820339,19.266,n.a.
2025-Jan-08,21:00,274.054689,-36.218026,19.267,n.a.
2025-Jan-08,21:30,270.347602,-42.64376,19.267,n.a.
2025-Jan-08,22:00,266.239728,-49.071364,19.268,n.a.
2025-Jan-08,22:30,261.436409,-55.464908,19.268,n.a.
2025-Jan-08,23:00,255.408212,-61.765826,19.269,n.a.
2025-Jan-08,23:30,247.097784,-67.860226,19.269,n.a.
2025-Jan-09,00:00,234.179775,-73.483377,19.270,n.a.
2025-Jan-09,00:30,211.694819,-77.924408,19.270,n.a.
2025-Jan-09,01:00,176.028982,-79.527789,19.271,n.a.
2025-Jan-09,01:30,142.58163,-77.175705,19.271,n.a.
2025-Jan-09,02:00,122.601535,-72.392612,19.272,n.a.
2025-Jan-09,02:30,110.925907,-66.636797,19.272,n.a.
2025-Jan-09,03:00,103.214492,-60.485855,19.273,n.a.
2025-Jan-09,03:30,97.499585,-54.159326,19.273,n.a.
2025-Jan-09,04:00,92.871597,-47.755148,19.274,n.a.
2025-Jan-09,04:30,88.864995,-41.325553,19.274,n.a.
2025-Jan-09,05:00,85.215162,-34.903756,19.275,n.a.
2025-Jan-09,05:30,81.755783,-28.514785,19.276,n.a.
2025-Jan-09,06:00,78.371368,-22.180608,19.276,n.a.
2025-Jan-09,06:30,74.973208,-15.923,19.277,n.a.
2025-Jan-09,07:00,71.486083,-9.765515,19.277,n.a.
2025-Jan-09,07:30,67.840257,-3.73516,19.278,n.a.
2025-Jan-09,08:00,63.966304,2.135927,19.278,n.a.
2025-Jan-09,08:30,59.79169,7.808611,19.279,n.a.
2025-Jan-09,09:00,55.238913,13.234639,19.279,n.a.
2025-Jan-09,09:30,50.22561,18.354286,19.280,n.a.
2025-Jan-09,10:00,44.667781,23.094027,19.280,n.a.
2025-Jan-09,10:30,38.487957,27.364848,19.281,n.a.
2025-Jan-09,11:00,31.630386,31.062443,19.281,n.a.
2025-Jan-09,11:30,24.083992,34.071142,19.282,n.a.
2025-Jan-09,12:00,15.90944,36.273651,19.282,n.a.
2025-Jan-09,12:30,7.25908,37.567276,19.283,n.a.
2025-Jan-09,13:00,358.372979,37.88373,19.283,n.a.
2025-Jan-09,13:30,349.540853,37.205307,19.284,n.a.
2025-Jan-09,14:00,341.040679,35.569472,19.284,n.a.
2025-Jan-09,14:30,333.083066,33.059341,19.285,n.a.
2025-Jan-09,15:00,325.785701,29.785166,19.285,n.a.
2025-Jan-09,18:00,294.590071,0.011844,19.289,n.a.
2025-Jan-09,18:30,290.807843,-5.921531,19.289,n.a.
2025-Jan-09,19:00,287.228208,-12.001725,19.290,n.a.
2025-Jan-09,19:30,283.782112,-18.19868,19.290,n.a.
2025-Jan-09,20:00,280.398549,-24.486843,19.291,n.a.
2025-Jan-09,20:30,276.998527,-30.843513,19.291,n.a.
2025-Jan-09,21:00,273.485533,-37.247111,19.292,n.a.
2025-Jan-09,21:30,269.729195,-43.67497,19.292,n.a.
2025-Jan-09,22:00,265.534787,-50.09987,19.293,n.a.
2025-Jan-09,22:30,260.581003,-56.483435,19.293,n.a.
2025-Jan-09,23:00,254.280814,-62.761338,19.294,n.a.
2025-Jan-09,23:30,245.441606,-68.804858,19.294,n.a.
2025-Jan-10,00:00,231.412949,-74.306332,19.295,n.a.
2025-Jan-10,00:30,206.790891,-78.4317,19.295,n.a.
2025-Jan-10,01:00,169.907975,-79.406573,19.296,n.a.
2025-Jan-10,01:30,138.543265,-76.52598,19.296,n.a.
2025-Jan-10,02:00,120.31675,-71.518232,19.297,n.a.
2025-Jan-10,02:30,109.487111,-65.674137,19.297,n.a.
2025-Jan-10,03:00,102.189717,-59.484865,19.298,n.a.
2025-Jan-10,03:30,96.694873,-53.140976,19.298,n.a.
2025-Jan-10,04:00,92.191364,-46.729937,19.299,n.a.
2025-Jan-10,04:30,88.256896,-40.299736,19.299,n.a.
2025-Jan-10,05:00,84.647496,-33.881749,19.300,n.a.
2025-Jan-10,05:30,81.207367,-27.500246,19.300,n.a.
2025-Jan-10,06:00,77.826572,-21.176998,19.301,n.a.
2025-Jan-10,06:30,74.419295,-14.933941,19.301,n.a.
2025-Jan-10,07:00,70.911656,-8.79507,19.302,n.a.
2025-Jan-10,07:30,67.234279,-2.788094,19.302,n.a.
