date,time,azi,elev,apmag,sbrt
2025-Jan-08,00:00,306.92679,-26.396273,19.376,7.479
2025-Jan-08,00:30,312.083604,-31.824594,19.376,7.479
2025-Jan-08,01:00,318.150638,-36.790659,19.375,7.479
2025-Jan-08,01:30,325.285033,-41.152397,19.375,7.478
2025-Jan-08,02:00,333.591695,-44.734023,19.375,7.478
2025-Jan-08,02:30,343.04093,-47.338015,19.374,7.478
2025-Jan-08,03:00,353.37822,-48.778273,19.374,7.478
2025-Jan-08,03:30,4.102052,-48.93197,19.374,7.478
2025-Jan-08,04:00,14.582247,-47.785041,19.373,7.478
2025-Jan-08,04:30,24.271213,-45.437967,19.373,7.478
2025-Jan-08,05:00,32.854176,-42.067051,19.373,7.478
2025-Jan-08,05:30,40.256018,-37.870998,19.372,7.478
2025-Jan-08,06:00,46.558599,-33.032418,19.372,7.478
2025-Jan-08,06:30,51.912473,-27.701513,19.372,7.478
2025-Jan-08,07:00,56.47999,-21.994716,19.371,7.478
2025-Jan-08,07:30,60.408595,-15.999771,19.371,7.477
2025-Jan-08,08:00,63.82232,-9.782159,19.371,7.477
2025-Jan-08,08:30,66.821855,-3.390797,19.37,7.477
2025-Jan-08,09:00,69.487762,3.137502,19.37,7.477
2025-Jan-08,09:30,71.884351,9.774738,19.369,7.477
2025-Jan-08,10:00,74.063268,16.499336,19.369,7.477
2025-Jan-08,10:30,76.066523,23.294446,19.369,7.477
2025-Jan-08,11:00,77.929019,30.146708,19.368,7.477
2025-Jan-08,11:30,79.680743,37.045366,19.368,7.477
2025-Jan-08,12:00,81.348936,43.981619,19.368,7.477
2025-Jan-08,12:30,82.960814,50.94813,19.367,7.477
2025-Jan-08,13:00,84.548236,57.938654,19.367,7.476
2025-Jan-08,13:30,86.158683,64.947722,19.367,7.476
2025-Jan-08,14:00,87.890289,71.970305,19.366,7.476
2025-Jan-08,14:30,90.059236,79.001044,19.366,7.476
2025-Jan-08,15:00,95.139317,86.027219,19.366,7.476
2025-Jan-08,15:30,263.101638,86.883838,19.365,7.476
2025-Jan-08,16:00,269.622282,79.862466,19.365,7.476
2025-Jan-08,16:30,271.904158,72.831469,19.364,7.476
2025-Jan-08,17:00,273.664031,65.807969,19.364,7.476
2025-Jan-08,17:30,275.282756,58.797516,19.364,7.476
2025-Jan-08,18:00,276.870539,51.805128,19.363,7.476
2025-Jan-08,18:30,278.478297,44.836212,19.363,7.475
2025-Jan-08,19:00,280.139005,37.896914,19.363,7.475
2025-Jan-08,19:30,281.880147,30.99444,19.362,7.475
2025-Jan-08,20:00,283.728807,24.13741,19.362,7.475
2025-Jan-08,20:30,285.714535,17.33634,19.362,7.475
2025-Jan-08,21:00,287.871531,10.604262,19.361,7.475
2025-Jan-08,21:30,290.240822,3.957586,19.361,7.475
2025-Jan-08,22:00,292.872725,-2.582721,19.361,7.475
2025-Jan-08,22:30,295.829802,-8.989492,19.36,7.475
2025-Jan-08,23:00,299.190363,-15.227077,19.36,7.475
2025-Jan-08,23:30,303.052309,-21.248172,19.36,7.474
2025-Jan-09,00:00,307.536467,-26.989526,19.359,7.474
2025-Jan-09,00:30,312.787175,-32.366399,19.359,7.474
2025-Jan-09,01:00,318.965159,-37.266204,19.359,7.474
2025-Jan-09,01:30,326.22362,-41.543135,19.358,7.474
2025-Jan-09,02:00,334.655635,-45.018435,19.358,7.474
2025-Jan-09,02:30,344.209271,-47.49445,19.358,7.474
2025-Jan-09,03:00,354.601359,-48.790277,19.357,7.474
2025-Jan-09,03:30,5.309394,-48.794239,19.357,7.474
2025-Jan-09,04:00,15.704954,-47.505985,19.356,7.474
2025-Jan-09,04:30,25.264368,-45.036639,19.356,7.474
2025-Jan-09,05:00,33.702936,-41.566863,19.356,7.474
2025-Jan-09,05:30,40.967565,-37.294347,19.355,7.473
2025-Jan-09,06:00,47.150731,-32.398026,19.355,7.473
2025-Jan-09,06:30,52.405446,-27.023913,19.355,7.473
2025-Jan-09,07:00,56.892453,-21.284783,19.354,7.473
2025-Jan-09,07:30,60.756182,-15.265523,19.354,7.473
2025-Jan-09,08:00,64.117551,-9.029496,19.354,7.473
2025-Jan-09,08:30,67.07452,-2.624088,19.353,7.473
2025-Jan-09,09:00,69.705413,3.914989,19.353,7.473
2025-Jan-09,09:30,72.07275,10.560525,19.353,7.473
2025-Jan-09,10:00,74.226735,17.291522,19.352,7.473
2025-Jan-09,10:30,76.208192,24.091545,19.352,7.473
