date,time,azi,elev,apmag,sbrt
2025-01-08,00:00,294.664403,1.146368,19.376,7.479
2025-01-08,00:30,290.837812,-4.779749,19.376,7.479
2025-01-08,01:00,287.220249,-10.854357,19.375,7.479
2025-01-08,01:30,283.741286,-17.046712,19.375,7.478
2025-01-08,02:00,280.329062,-23.330723,19.375,7.478
2025-01-08,02:30,276.904396,-29.68325,19.374,7.478
2025-01-08,03:00,273.371648,-36.082327,19.374,7.478
2025-01-08,03:30,269.603319,-42.504954,19.374,7.478
2025-01-08,04:00,265.411854,-48.923685,19.373,7.478
2025-01-08,04:30,260.493393,-55.300288,19.373,7.478
2025-01-08,05:00,254.305462,-61.57194,19.373,7.478
2025-01-08,05:30,245.77895,-67.616683,19.372,7.478
2025-01-08,06:00,232.626033,-73.155337,19.372,7.478
2025-01-08,06:30,210.252386,-77.466492,19.372,7.478
2025-01-08,07:00,175.951631,-78.978522,19.371,7.478
2025-01-08,07:30,143.745227,-76.695492,19.371,7.477
2025-01-08,08:00,123.885716,-72.013553,19.371,7.477
2025-01-08,08:30,112.043427,-66.325476,19.37,7.477
2025-01-08,09:00,104.164859,-60.215832,19.37,7.477
2025-01-08,09:30,98.320182,-53.91447,19.37,7.477
2025-01-08,10:00,93.595271,-47.5254,19.369,7.477
2025-01-08,10:30,89.516222,-41.104196,19.369,7.477
2025-01-08,11:00,85.811829,-34.685944,19.368,7.477
2025-01-08,11:30,82.311136,-28.296739,19.368,7.477
2025-01-08,12:00,78.895419,-21.959148,19.368,7.477
2025-01-08,12:30,75.473665,-15.695258,19.367,7.477
2025-01-08,13:00,71.968941,-9.528745,19.367,7.476
2025-01-08,13:30,68.310139,-3.486612,19.367,7.476
2025-01-08,14:00,64.426611,2.399096,19.366,7.476
2025-01-08,14:30,60.244581,8.089389,19.366,7.476
2025-01-08,15:00,55.685111,13.536155,19.366,7.476
2025-01-08,15:30,50.664018,18.679746,19.365,7.476
2025-01-08,16:00,45.094927,23.446536,19.365,7.476
2025-01-08,16:30,38.897339,27.747087,19.365,7.476
2025-01-08,17:00,32.011948,31.476153,19.364,7.476
2025-01-08,17:30,24.424204,34.516451,19.364,7.476
2025-01-08,18:00,16.192611,36.748386,19.363,7.476
2025-01-08,18:30,7.470232,38.066591,19.363,7.475
2025-01-08,19:00,358.501684,38.400403,19.363,7.475
2025-01-08,19:30,349.584245,37.730818,19.362,7.475
2025-01-08,20:00,341.003901,36.095496,19.362,7.475
2025-01-08,20:30,332.977021,33.579024,19.362,7.475
2025-01-08,21:00,325.623636,30.293756,19.361,7.475
2025-01-08,21:30,318.974637,26.360028,19.361,7.475
2025-01-08,22:00,312.997378,21.891826,19.361,7.475
2025-01-08,22:30,307.623228,16.989264,19.36,7.475
2025-01-08,23:00,302.768443,11.736336,19.36,7.475
2025-01-08,23:30,298.346827,6.20171,19.36,7.474
2025-01-09,00:00,294.275872,0.440867,19.359,7.474
2025-01-09,00:30,290.478581,-5.501423,19.359,7.474
2025-01-09,01:00,286.882649,-11.58875,19.359,7.474
2025-01-09,01:30,283.417904,-17.790992,19.358,7.474
2025-01-09,02:00,280.012206,-24.082491,19.358,7.474
2025-01-09,02:30,276.585313,-30.440366,19.357,7.474
2025-01-09,03:00,273.039256,-36.842717,19.357,7.474
2025-01-09,03:30,269.241973,-43.26635,19.357,7.474
2025-01-09,04:00,264.997011,-49.683172,19.356,7.474
2025-01-09,04:30,259.982427,-56.053382,19.356,7.474
2025-01-09,05:00,253.616368,-62.310365,19.356,7.473
2025-01-09,05:30,244.737097,-68.322233,19.355,7.473
2025-01-09,06:00,230.83598,-73.780889,19.355,7.473
2025-01-09,06:30,207.014422,-77.882831,19.355,7.473
2025-01-09,07:00,171.731655,-78.972264,19.354,7.473
2025-01-09,07:30,140.714371,-76.3071,19.354,7.473
2025-01-09,08:00,122.055742,-71.445842,19.354,7.473
2025-01-09,08:30,110.844823,-65.682096,19.353,7.473
2025-01-09,09:00,103.291545,-59.537898,19.353,7.473
2025-01-09,09:30,97.626517,-53.220107,19.353,7.473
2025-01-09,10:00,93.006873,-46.823949,19.352,7.473
2025-01-09,10:30,88.991352,-40.401282,19.352,7.472
2025-01-09,11:00,85.324801,-33.985505,19.352,7.472
2025-01-09,11:30,81.844656,-27.601961,19.351,7.472
2025-01-09,12:00,78.436751,-21.272953,19.351,7.472
2025-01-09,12:30,75.012548,-15.020612,19.35,7.472
2025-01-09,13:00,71.496366,-8.868886,19.35,7.472
2025-01-09,13:30,67.817583,-2.845259,19.35,7.472
2025-01-09,14:00,63.905533,3.017532,19.349,7.472
2025-01-09,14:30,59.686125,8.679566,19.349,7.472
2025-01-09,15:00,55.080017,14.091547,19.349,7.472
2025-01-09,15:30,50.002846,19.192372,19.348,7.472
2025-01-09,16:00,44.368759,23.906741,19.348,7.471
2025-01-09,16:30,38.099206,28.143479,19.348,7.471
2025-01-09,17:00,31.13915,31.795882,19.347,7.471
2025-01-09,17:30,23.481357,34.746076,19.347,7.471
2025-01-09,18:00,15.194459,36.875513,19.347,7.471
2025-01-09,18:30,6.442384,38.082119,19.346,7.471
2025-01-09,19:00,357.477461,38.30071,19.346,7.471
2025-01-09,19:30,348.59785,37.518848,19.345,7.471
2025-01-09,20:00,340.082953,35.780123,19.345,7.471
2025-01-09,20:30,332.13811,33.173013,19.345,7.471
2025-01-09,21:00,324.872184,29.811333,19.344,7.47
2025-01-09,21:30,318.30764,25.814953,19.344,7.47
2025-01-09,22:00,312.406874,21.296288,19.344,7.47
2025-01-09,22:30,307.099108,16.353492,19.343,7.47
2025-01-09,23:00,302.300232,11.068641,19.343,7.47
2025-01-09,23:30,297.924598,5.508735,19.343,7.47
2025-01-10,00:00,293.890559,-0.272113,19.342,7.47
2025-01-10,00:30,290.121952,-6.230202,19.342,7.47
2025-01-10,01:00,286.547073,-12.329943,19.342,7.47
2025-01-10,01:30,283.095958,-18.541816,19.341,7.47
2025-01-10,02:00,279.696127,-24.840584,19.341,7.47
2025-01-10,02:30,276.266172,-31.203606,19.341,7.469
2025-01-10,03:00,272.705611,-37.609032,19.34,7.469
2025-01-10,03:30,268.877472,-44.033439,19.34,7.469
2025-01-10,04:00,264.57568,-50.448032,19.339,7.469
2025-01-10,04:30,259.458561,-56.811292,19.339,7.469
2025-01-10,05:00,252.900789,-63.052428,19.339,7.469
2025-01-10,05:30,243.637148,-69.028423,19.338,7.469
2025-01-10,06:00,228.91334,-74.398271,19.338,7.469
2025-01-10,06:30,203.552562,-78.266986,19.338,7.469
2025-01-10,07:00,167.508464,-78.91363,19.337,7.469
2025-01-10,07:30,137.823167,-75.886474,19.337,7.469
2025-01-10,08:00,120.307525,-70.86215,19.337,7.468
2025-01-10,08:30,109.685541,-65.029372,19.336,7.468
2025-01-10,09:00,102.437231,-58.853449,19.336,7.468
2025-01-10,09:30,96.941854,-52.520648,19.336,7.468
2025-01-10,10:00,92.422109,-46.118252,19.335,7.468
2025-01-10,10:30,88.46694,-39.694725,19.335,7.468
2025-01-10,11:00,84.836151,-33.281925,19.335,7.468
2025-01-10,11:30,81.375043,-26.904514,19.334,7.468
2025-01-10,12:00,77.97373,-20.584575,19.334,7.468
2025-01-10,12:30,74.545988,-14.344314,19.333,7.468
2025-01-10,13:00,71.017293,-8.207982,19.333,7.467
2025-01-10,13:30,67.317445,-2.203566,19.333,7.467
2025-01-10,14:00,63.375723,3.635468,19.332,7.467
2025-01-10,14:30,59.117706,9.268238,19.332,7.467
2025-01-10,15:00,54.463665,14.644225,19.332,7.467
2025-01-10,15:30,49.329125,19.700838,19.331,7.467
2025-01-10,16:00,43.628903,24.361082,19.331,7.467
2025-01-10,16:30,37.286649,28.532055,19.331,7.467
2025-01-10,17:00,30.251957,32.105667,19.33,7.467
2025-01-10,17:30,22.525302,34.96362,19.33,7.467
2025-01-10,18:00,14.185698,36.988666,19.329,7.466
2025-01-10,18:30,5.407786,38.082327,19.329,7.466
2025-01-10,19:00,356.450942,38.185115,19.329,7.466
