date,time,azi,elev,apmag,sbrt
2025-01-08,00:00,260.82884,-43.710323,21.071,5.312
2025-01-08,00:30,262.372891,-50.668592,21.071,5.312
2025-01-08,01:00,263.857345,-57.651409,21.071,5.312
2025-01-08,01:30,265.300879,-64.653329,21.07,5.311
2025-01-08,02:00,266.727503,-71.669537,21.07,5.311
2025-01-08,02:30,268.188495,-78.695666,21.069,5.311
2025-01-08,03:00,269.996586,-85.72753,21.069,5.311
2025-01-08,03:30,89.386979,-87.237351,21.069,5.311
2025-01-08,04:00,91.564991,-80.205338,21.068,5.311
2025-01-08,04:30,93.050828,-73.178539,21.068,5.311
2025-01-08,05:00,94.479741,-66.161264,21.067,5.311
2025-01-08,05:30,95.918861,-59.157831,21.067,5.311
2025-01-08,06:00,97.394954,-52.172971,21.067,5.311
2025-01-08,06:30,98.927245,-45.212015,21.066,5.311
2025-01-08,07:00,100.534014,-38.281111,21.066,5.311
2025-01-08,07:30,102.234963,-31.387492,21.065,5.311
2025-01-08,08:00,104.052628,-24.539828,21.065,5.311
2025-01-08,08:30,106.013648,-17.748689,21.065,5.311
2025-01-08,09:00,108.150192,-11.027164,21.064,5.311
2025-01-08,09:30,110.501696,-4.391716,21.064,5.311
2025-01-08,10:00,113.117054,2.136655,21.063,5.311
2025-01-08,10:30,116.057354,8.530796,21.063,5.311
2025-01-08,11:00,119.399162,14.755149,21.063,5.31
2025-01-08,11:30,123.238126,20.762658,21.062,5.31
2025-01-08,12:00,127.692039,26.490591,21.062,5.31
2025-01-08,15:30,184.79698,48.381295,21.059,5.31
2025-01-08,16:00,195.103955,47.156711,21.059,5.31
2025-01-08,16:30,204.615117,44.755737,21.058,5.31
2025-01-08,17:00,213.039666,41.352618,21.058,5.31
2025-01-08,17:30,220.312587,37.141068,21.058,5.31
2025-01-08,18:00,226.515237,32.298456,21.057,5.31
2025-01-08,18:30,231.792835,26.97079,21.057,5.31
2025-01-08,19:00,236.301467,21.271583,21.056,5.309
2025-01-08,19:30,240.183033,15.286693,21.056,5.309
2025-01-08,20:00,243.557132,9.08044,21.056,5.309
2025-01-08,20:30,246.52098,2.701051,21.055,5.309
2025-01-08,21:00,249.15233,-3.815057,21.055,5.309
2025-01-08,21:30,251.513042,-10.440098,21.054,5.309
2025-01-08,22:00,253.652352,-17.152607,21.054,5.309
2025-01-08,22:30,255.609573,-23.93577,21.054,5.309
2025-01-08,23:00,257.41618,-30.776234,21.053,5.309
2025-01-08,23:30,259.097309,-37.663223,21.053,5.309
2025-01-09,00:00,260.672688,-44.587907,21.052,5.309
2025-01-09,00:30,262.156823,-51.542923,21.052,5.309
2025-01-09,01:00,263.557838,-58.522009,21.052,5.309
2025-01-09,01:30,264.87277,-65.519726,21.051,5.309
2025-01-09,02:00,266.069863,-72.531208,21.051,5.309
2025-01-09,02:30,266.997276,-79.551831,21.05,5.309
2025-01-09,03:00,266.162983,-86.575012,21.05,5.309
2025-01-09,03:30,93.788751,-86.385925,21.05,5.309
2025-01-09,04:00,93.105543,-79.363081,21.049,5.308
2025-01-09,04:30,94.046368,-72.343626,21.049,5.308
2025-01-09,05:00,95.24885,-65.333947,21.048,5.308
2025-01-09,05:30,96.567969,-58.338687,21.048,5.308
2025-01-09,06:00,97.97331,-51.362755,21.048,5.308
2025-01-09,06:30,99.462371,-44.411649,21.047,5.308
2025-01-09,07:00,101.043523,-37.491705,21.047,5.308
2025-01-09,07:30,102.731463,-30.610387,21.046,5.308
2025-01-09,08:00,104.546106,-23.77665,21.046,5.308
2025-01-09,08:30,106.512797,-17.001426,21.046,5.308
2025-01-09,09:00,108.663244,-10.298273,21.045,5.308
2025-01-09,09:30,111.037026,-3.68426,21.045,5.308
2025-01-09,10:00,113.683675,2.818823,21.044,5.308
2025-01-09,10:30,116.665347,9.182777,21.044,5.308
2025-01-09,11:00,120.060046,15.370668,21.044,5.308
2025-01-09,11:30,123.965075,21.333629,21.043,5.308
2025-01-09,12:00,128.499727,27.006582,21.043,5.308
2025-01-09,12:30,133.804797,32.302842,21.042,5.307
2025-01-09,13:00,140.033811,37.108148,21.042,5.307
2025-01-09,15:30,186.033516,48.051542,21.04,5.307
2025-01-09,16:00,196.205207,46.685535,21.04,5.307
2025-01-09,16:30,205.546524,44.167523,21.039,5.307
2025-01-09,17:00,213.798153,40.674012,21.039,5.307
2025-01-09,17:30,220.915119,36.395921,21.038,5.307
2025-01-09,18:00,226.986452,31.505783,21.038,5.307
2025-01-09,18:30,232.157247,26.144797,21.038,5.307
2025-01-09,19:00,236.580077,20.422538,21.037,5.307
2025-01-09,19:30,240.392517,14.421925,21.037,5.307
2025-01-09,20:00,243.710148,8.205173,21.036,5.307
2025-01-09,20:30,246.626793,1.819036,21.036,5.306
2025-01-09,21:00,249.217424,-4.701099,21.036,5.306
2025-01-09,21:30,251.541582,-11.328159,21.035,5.306
2025-01-09,22:00,253.646465,-18.041178,21.035,5.306
2025-01-09,22:30,255.56942,-24.823693,21.034,5.306
2025-01-09,23:00,257.339766,-31.662589,21.034,5.306
2025-01-09,23:30,258.979927,-38.547259,21.034,5.306
2025-01-10,00:00,260.505711,-45.468973,21.033,5.306
2025-01-10,00:30,261.925175,-52.420421,21.033,5.306
2025-01-10,01:00,263.234369,-59.395332,21.032,5.306
2025-01-10,01:30,264.403931,-66.388162,21.032,5.306
2025-01-10,02:00,265.330044,-73.393682,21.032,5.306
2025-01-10,02:30,265.567979,-80.40578,21.031,5.306
2025-01-10,03:00,259.751726,-87.399527,21.031,5.306
2025-01-10,03:30,96.561316,-85.517925,21.03,5.306
2025-01-10,04:00,94.445495,-78.511357,21.03,5.306
2025-01-10,04:30,94.969844,-71.501291,21.03,5.306
2025-01-10,05:00,95.982464,-64.500243,21.029,5.305
2025-01-10,05:30,97.196968,-57.513839,21.029,5.305
2025-01-10,06:00,98.539552,-50.547366,21.028,5.305
2025-01-10,06:30,99.990168,-43.606575,21.028,5.305
2025-01-10,07:00,101.548894,-36.698035,21.028,5.305
2025-01-10,07:30,103.226163,-29.829468,21.027,5.305
2025-01-10,08:00,105.039654,-23.01014,21.027,5.305
2025-01-10,08:30,107.013635,-16.251369,21.026,5.305
2025-01-10,09:00,109.179496,-9.567204,21.026,5.305
2025-01-10,09:30,111.57706,-2.975345,21.026,5.305
2025-01-10,10:00,114.256568,3.501588,21.025,5.305
2025-01-10,10:30,117.281303,9.834309,21.025,5.305
2025-01-10,11:00,120.730733,15.984453,21.024,5.305
2025-01-10,11:30,124.703798,21.901278,21.024,5.305
2025-01-10,12:00,129.321187,27.517293,21.024,5.305
2025-01-10,12:30,134.723928,32.742836,21.023,5.305
2025-01-10,13:00,141.062864,37.460296,21.023,5.305
2025-01-10,13:30,148.470012,41.520272,21.022,5.304
2025-01-10,14:00,157.002176,44.744764,21.022,5.304
2025-01-10,15:30,187.257634,47.703554,21.021,5.304
2025-01-10,16:00,197.28938,46.19849,21.02,5.304
2025-01-10,16:30,206.46026,43.566232,21.02,5.304
2025-01-10,17:00,214.541042,39.984853,21.02,5.304
2025-01-10,17:30,221.505087,35.642179,21.019,5.304
2025-01-10,18:00,227.448017,30.705908,21.019,5.304
2025-01-10,18:30,232.514364,25.312547,21.018,5.304
2025-01-10,19:00,236.853116,19.567868,21.018,5.304
2025-01-10,19:30,240.597598,13.551953,21.017,5.304
2025-01-10,20:00,243.859472,7.324992,21.017,5.304
2025-01-10,20:30,246.729261,0.932315,21.017,5.304
2025-01-10,21:00,249.279212,-5.591681,21.016,5.303
2025-01-10,21:30,251.566573,-12.220618,21.016,5.303
2025-01-10,22:00,253.636494,-18.934009,21.015,5.303
2025-01-10,22:30,255.524295,-25.715729,21.015,5.303
2025-01-10,23:00,257.257024,-32.552892,21.015,5.303
2025-01-10,23:30,258.854163,-39.435038,21.014,5.303
2025-01-11,00:00,260.327151,-46.353524,21.014,5.303
2025-01-11,00:30,261.676683,-53.301054,21.013,5.303
2025-01-11,01:00,262.884612,-60.271285,21.013,5.303
2025-01-11,01:30,263.889373,-67.258413,21.013,5.303
2025-01-11,02:00,264.49406,-74.25641,21.012,5.303
2025-01-11,02:30,263.830838,-81.2556,21.012,5.303
2025-01-11,03:00,247.568243,-88.163591,21.011,5.303
2025-01-11,03:30,98.480503,-84.639244,21.011,5.303
2025-01-11,04:00,95.624632,-77.651178,21.011,5.303
2025-01-11,04:30,95.830245,-70.651895,21.01,5.303
2025-01-11,05:00,96.683869,-63.660315,21.01,5.302
2025-01-11,05:30,97.807398,-56.683365,21.009,5.302
2025-01-11,06:00,99.094531,-49.726843,21.009,5.302
2025-01-11,06:30,100.511169,-42.796811,21.009,5.302
2025-01-11,07:00,102.050502,-35.90011,21.008,5.302
2025-01-11,07:30,103.719357,-29.044745,21.008,5.302
2025-01-11,08:00,105.533524,-22.240314,21.007,5.302
2025-01-11,08:30,107.516402,-15.498542,21.007,5.302
2025-01-11,09:00,109.699191,-8.833993,21.007,5.302
