date,time,azi,elev,apmag,sbrt
2025-Jan-08,00:00,258.741071,22.398456,21.071,5.312
2025-Jan-08,00:30,255.333328,16.138984,21.071,5.312
2025-Jan-08,01:00,251.842939,9.977545,21.07,5.311
2025-Jan-08,01:30,248.199484,3.940962,21.07,5.311
2025-Jan-08,02:00,244.333173,-1.938941,21.07,5.311
2025-Jan-08,02:30,240.171296,-7.623474,21.069,5.311
2025-Jan-08,03:00,235.636226,-13.064966,21.069,5.311
2025-Jan-08,03:30,230.645354,-18.204398,21.069,5.311
2025-Jan-08,04:00,225.114066,-22.969046,21.068,5.311
2025-Jan-08,04:30,218.963573,-27.270705,21.068,5.311
2025-Jan-08,05:00,212.135703,-31.005698,21.067,5.311
2025-Jan-08,05:30,204.615598,-34.058523,21.067,5.311
2025-Jan-08,06:00,196.459022,-36.311235,21.067,5.311
2025-Jan-08,06:30,187.813393,-37.659407,21.066,5.311
2025-Jan-08,07:00,178.915673,-38.032019,21.066,5.311
2025-Jan-08,07:30,170.055901,-37.408188,21.065,5.311
2025-Jan-08,08:00,161.515895,-35.822591,21.065,5.311
2025-Jan-08,08:30,153.511995,-33.356586,21.065,5.311
2025-Jan-08,09:00,146.167404,-30.119849,21.064,5.311
2025-Jan-08,09:30,139.51753,-26.230969,21.064,5.311
2025-Jan-08,10:00,133.534085,-21.803073,21.063,5.311
2025-Jan-08,10:30,128.15192,-16.93607,21.063,5.31
2025-Jan-08,11:00,123.289804,-11.714126,21.063,5.31
2025-Jan-08,11:30,118.863284,-6.206262,21.062,5.31
2025-Jan-08,12:00,114.791097,-0.468356,21.062,5.31
2025-Jan-08,12:30,110.997247,5.45446,21.062,5.31
2025-Jan-08,13:00,107.41041,11.525494,21.061,5.31
2025-Jan-08,13:30,103.961563,17.714446,21.061,5.31
2025-Jan-08,14:00,100.580114,23.99562,21.06,5.31
2025-Jan-08,14:30,97.18805,30.346272,21.06,5.31
2025-Jan-08,18:00,52.758268,73.886576,21.057,5.31
2025-Jan-08,18:30,29.258912,78.171857,21.057,5.31
2025-Jan-08,19:00,352.993463,79.469555,21.056,5.31
2025-Jan-08,19:30,320.575822,76.85903,21.056,5.309
2025-Jan-08,20:00,301.474296,71.970329,21.056,5.309
2025-Jan-08,20:30,290.216826,66.177607,21.055,5.309
2025-Jan-08,21:00,282.70668,60.014579,21.055,5.309
2025-Jan-08,21:30,277.097195,53.686309,21.054,5.309
2025-Jan-08,22:00,272.528108,47.285603,21.054,5.309
2025-Jan-08,22:30,268.555292,40.86265,21.054,5.309
2025-Jan-08,23:00,264.924259,34.449795,21.053,5.309
2025-Jan-08,23:30,261.473833,28.071713,21.053,5.309
2025-Jan-09,00:00,258.091256,21.750284,21.052,5.309
2025-Jan-09,00:30,254.689293,15.507354,21.052,5.309
2025-Jan-09,01:00,251.193486,9.366671,21.052,5.309
2025-Jan-09,01:30,247.534447,3.355541,21.051,5.309
2025-Jan-09,02:00,243.642853,-2.493488,21.051,5.309
2025-Jan-09,02:30,239.446173,-8.140763,21.05,5.309
2025-Jan-09,03:00,234.866948,-13.537395,21.05,5.309
2025-Jan-09,03:30,229.823103,-18.622928,21.05,5.309
2025-Jan-09,04:00,224.231458,-23.323053,21.049,5.308
2025-Jan-09,04:30,218.01629,-27.548057,21.049,5.308
2025-Jan-09,05:00,211.124925,-31.193231,21.048,5.308
2025-Jan-09,05:30,203.550908,-34.143145,21.048,5.308
2025-Jan-09,06:00,195.360628,-36.281765,21.048,5.308
2025-Jan-09,06:30,186.711804,-37.508893,21.047,5.308
2025-Jan-09,07:00,177.847336,-37.759744,21.047,5.308
2025-Jan-09,07:30,169.055588,-37.020359,21.046,5.308
2025-Jan-09,08:00,160.609282,-35.331212,21.046,5.308
2025-Jan-09,08:30,152.712014,-32.77703,21.046,5.308
2025-Jan-09,09:00,145.475151,-29.468243,21.045,5.308
2025-Jan-09,09:30,138.925863,-25.52227,21.045,5.308
2025-Jan-09,10:00,133.031587,-21.050085,21.044,5.308
2025-Jan-09,10:30,127.72588,-16.149202,21.044,5.308
2025-Jan-09,11:00,122.927988,-10.901577,21.044,5.308
2025-Jan-09,11:30,118.554742,-5.374372,21.043,5.308
2025-Jan-09,12:00,114.526376,0.37802,21.043,5.308
2025-Jan-09,12:30,110.768282,6.311615,21.042,5.307
2025-Jan-09,13:00,107.210239,12.390595,21.042,5.307
2025-Jan-09,13:30,103.783955,18.585321,21.042,5.307
2025-Jan-09,14:00,100.419073,24.87059,21.041,5.307
2025-Jan-09,14:30,97.037133,31.224008,21.041,5.307
2025-Jan-09,15:00,93.541977,37.624291,21.04,5.307
2025-Jan-09,18:00,51.246163,74.674379,21.038,5.307
2025-Jan-09,18:30,25.930013,78.759965,21.038,5.307
2025-Jan-09,19:00,348.149952,79.589469,21.037,5.307
2025-Jan-09,19:30,316.963758,76.544636,21.037,5.307
2025-Jan-09,20:00,299.178673,71.450559,21.036,5.307
2025-Jan-09,20:30,288.635057,65.568357,21.036,5.307
2025-Jan-09,21:00,281.508929,59.363475,21.036,5.306
2025-Jan-09,21:30,276.121181,53.015433,21.035,5.306
2025-Jan-09,22:00,271.687916,46.606899,21.035,5.306
2025-Jan-09,22:30,267.801095,40.183594,21.034,5.306
2025-Jan-09,23:00,264.22455,33.775751,21.034,5.306
2025-Jan-09,23:30,260.807007,27.407056,21.034,5.306
2025-Jan-10,00:00,257.441297,21.099004,21.033,5.306
2025-Jan-10,00:30,254.043388,14.873438,21.033,5.306
2025-Jan-10,01:00,250.540627,8.754382,21.032,5.306
2025-Jan-10,01:30,246.864571,2.769664,21.032,5.306
2025-Jan-10,02:00,242.946318,-3.047412,21.032,5.306
2025-Jan-10,02:30,238.713508,-8.656192,21.031,5.306
2025-Jan-10,03:00,234.088888,-14.006542,21.031,5.306
2025-Jan-10,03:30,228.991015,-19.036544,21.03,5.306
2025-Jan-10,04:00,223.338324,-23.670313,21.03,5.306
2025-Jan-10,04:30,217.05843,-27.816676,21.03,5.306
2025-Jan-10,05:00,210.104492,-31.370013,21.029,5.305
2025-Jan-10,05:30,202.478735,-34.215175,21.029,5.305
2025-Jan-10,06:00,194.258192,-36.238316,21.028,5.305
2025-Jan-10,06:30,185.610441,-37.343727,21.028,5.305
2025-Jan-10,07:00,176.783442,-37.472988,21.028,5.305
2025-Jan-10,07:30,168.062933,-36.618968,21.027,5.305
2025-Jan-10,08:00,159.712016,-34.827662,21.027,5.305
2025-Jan-10,08:30,151.921604,-32.186841,21.026,5.305
2025-Jan-10,09:00,144.791675,-28.807441,21.026,5.305
2025-Jan-10,09:30,138.341685,-24.805581,21.026,5.305
2025-Jan-10,10:00,132.535182,-20.290052,21.025,5.305
2025-Jan-10,10:30,127.304655,-15.355999,21.025,5.305
2025-Jan-10,11:00,122.569916,-10.083212,21.024,5.305
2025-Jan-10,11:30,118.249099,-4.537039,21.024,5.305
2025-Jan-10,12:00,114.263916,1.22957,21.024,5.305
2025-Jan-10,12:30,110.541109,7.173749,21.023,5.305
2025-Jan-10,13:00,107.011527,13.260534,21.023,5.305
2025-Jan-10,13:30,103.607566,19.46093,21.022,5.304
2025-Jan-10,14:00,100.25906,25.750213,21.022,5.304
2025-Jan-10,14:30,96.887032,32.106337,21.022,5.304
2025-Jan-10,15:00,93.393647,38.508233,21.021,5.304
2025-Jan-10,15:30,89.644716,44.933604,21.021,5.304
2025-Jan-10,16:00,85.436367,51.35536,21.02,5.304
2025-Jan-10,18:00,49.580085,75.456522,21.019,5.304
2025-Jan-10,18:30,22.24542,79.312727,21.018,5.304
2025-Jan-10,19:00,343.20611,79.639057,21.018,5.304
2025-Jan-10,19:30,313.502898,76.182656,21.017,5.304
2025-Jan-10,20:00,296.989423,70.904775,21.017,5.304
2025-Jan-10,20:30,287.1131,64.943025,21.017,5.304
2025-Jan-10,21:00,280.345728,58.70109,21.016,5.303
2025-Jan-10,21:30,275.16598,52.335944,21.016,5.303
2025-Jan-10,22:00,270.860502,45.921277,21.015,5.303
2025-Jan-10,22:30,267.054585,39.498834,21.015,5.303
