date,time,azi,elev,apmag,sbrt
2025-01-08,00:00,22.947882,-67.702345,18.727,n.a.
2025-01-08,00:30,39.125358,-64.045804,18.727,n.a.
2025-01-08,01:00,50.985915,-59.04598,18.727,n.a.
2025-01-08,01:30,59.632789,-53.249588,18.726,n.a.
2025-01-08,02:00,66.141433,-46.980526,18.726,n.a.
2025-01-08,02:30,71.253038,-40.421463,18.726,n.a.
2025-01-08,03:00,75.442355,-33.677925,18.725,n.a.
2025-01-08,03:30,79.01546,-26.813952,18.725,n.a.
2025-01-08,04:00,82.177101,-19.870749,18.725,n.a.
2025-01-08,04:30,85.071767,-12.87664,18.724,n.a.
2025-01-08,05:00,87.808662,-5.852643,18.724,n.a.
2025-01-08,05:30,90.477695,1.184136,18.724,n.a.
2025-01-08,06:00,93.160837,8.21818,18.724,n.a.
2025-01-08,06:30,95.941661,15.233644,18.723,n.a.
2025-01-08,07:00,98.915239,22.212353,18.723,n.a.
2025-01-08,07:30,102.200696,29.131202,18.723,n.a.
2025-01-08,08:00,105.959633,35.958178,18.722,n.a.
2025-01-08,08:30,110.425541,42.645599,18.722,n.a.
2025-01-08,09:00,115.952406,49.117845,18.722,n.a.
2025-01-08,09:30,123.092549,55.248101,18.721,n.a.
2025-01-08,10:00,132.697057,60.814341,18.721,n.a.
2025-01-08,10:30,145.917935,65.42532,18.721,n.a.
2025-01-08,11:00,163.59845,68.454912,18.72,n.a.
2025-01-08,11:30,184.432513,69.198115,18.72,n.a.
2025-01-08,12:00,204.325364,67.427502,18.72,n.a.
2025-01-08,16:00,262.343445,19.295021,18.717,n.a.
2025-01-08,16:30,265.22255,12.298052,18.717,n.a.
2025-01-08,17:00,267.950613,5.272285,18.717,n.a.
2025-01-08,17:30,270.616535,-1.765365,18.717,n.a.
2025-01-08,18:00,273.302027,-8.799444,18.716,n.a.
2025-01-08,18:30,276.091099,-15.814047,18.716,n.a.
2025-01-08,19:00,279.080072,-22.790802,18.716,n.a.
2025-01-08,19:30,282.390469,-29.706202,18.715,n.a.
2025-01-08,20:00,286.188102,-36.52749,18.715,n.a.
2025-01-08,20:30,290.713746,-43.205618,18.715,n.a.
2025-01-08,21:00,296.333995,-49.662385,18.715,n.a.
2025-01-08,21:30,303.622482,-55.76597,18.714,n.a.
2025-01-08,22:00,313.46208,-61.284593,18.714,n.a.
2025-01-08,22:30,327.029473,-65.809652,18.714,n.a.
2025-01-08,23:00,345.099841,-68.694675,18.713,n.a.
2025-01-08,23:30,6.115032,-69.242163,18.713,n.a.
2025-01-09,00:00,25.833385,-67.28218,18.713,n.a.
2025-01-09,00:30,41.303779,-63.363595,18.713,n.a.
2025-01-09,01:00,52.57961,-58.204389,18.712,n.a.
2025-01-09,01:30,60.82512,-52.313278,18.712,n.a.
2025-01-09,02:00,67.069734,-45.986388,18.712,n.a.
2025-01-09,02:30,72.006979,-39.390687,18.711,n.a.
2025-01-09,03:00,76.079648,-32.62322,18.711,n.a.
2025-01-09,03:30,79.574292,-25.743375,18.711,n.a.
2025-01-09,04:00,82.683956,-18.78974,18.71,n.a.
2025-01-09,04:30,85.546179,-11.789139,18.71,n.a.
2025-01-09,05:00,88.266195,-4.761756,18.71,n.a.
2025-01-09,05:30,90.931964,2.275709,18.71,n.a.
2025-01-09,06:00,93.625089,9.307814,18.709,n.a.
2025-01-09,06:30,96.430271,16.318477,18.709,n.a.
2025-01-09,07:00,99.445457,23.288919,18.709,n.a.
