date,time,azi,elev,apmag,sbrt
2025-Jan-08,00:00,243.489328,-36.285582,18.727,n.a.
2025-Jan-08,00:30,236.983425,-41.869626,18.727,n.a.
2025-Jan-08,01:00,229.284329,-47.017988,18.727,n.a.
2025-Jan-08,01:30,220.052917,-51.544883,18.726,n.a.
2025-Jan-08,02:00,209.004574,-55.198447,18.726,n.a.
2025-Jan-08,02:30,196.12602,-57.674842,18.726,n.a.
2025-Jan-08,03:00,181.956721,-58.689558,18.725,n.a.
2025-Jan-08,03:30,167.614745,-58.101319,18.725,n.a.
2025-Jan-08,04:00,154.307948,-55.993978,18.725,n.a.
2025-Jan-08,04:30,142.749918,-52.6263,18.724,n.a.
2025-Jan-08,05:00,133.051273,-48.306855,18.724,n.a.
2025-Jan-08,05:30,124.973552,-43.304706,18.724,n.a.
2025-Jan-08,06:00,118.178736,-37.822842,18.724,n.a.
2025-Jan-08,06:30,112.351739,-32.00549,18.723,n.a.
2025-Jan-08,07:00,107.235103,-25.953825,18.723,n.a.
2025-Jan-08,07:30,102.626907,-19.739899,18.723,n.a.
2025-Jan-08,08:00,98.368313,-13.416802,18.722,n.a.
2025-Jan-08,08:30,94.330472,-7.025684,18.722,n.a.
2025-Jan-08,09:00,90.403251,-0.600675,18.722,n.a.
2025-Jan-08,09:30,86.485761,5.827458,18.721,n.a.
2025-Jan-08,10:00,82.477896,12.228241,18.721,n.a.
2025-Jan-08,10:30,78.271961,18.568475,18.721,n.a.
2025-Jan-08,11:00,73.743442,24.80873,18.720,n.a.
2025-Jan-08,11:30,68.740076,30.898736,18.720,n.a.
2025-Jan-08,12:00,63.068959,36.770829,18.720,n.a.
2025-Jan-08,12:30,56.483389,42.330447,18.720,n.a.
2025-Jan-08,13:00,48.677193,47.442852,18.719,n.a.
2025-Jan-08,13:30,39.308891,51.917219,18.719,n.a.
2025-Jan-08,14:00,28.102767,55.496072,18.719,n.a.
2025-Jan-08,14:30,15.076945,57.872558,18.718,n.a.
2025-Jan-08,15:30,346.494371,58.05413,18.718,n.a.
2025-Jan-08,18:00,297.617232,37.425122,18.716,n.a.
2025-Jan-08,18:30,291.854657,31.583617,18.716,n.a.
2025-Jan-08,19:00,286.784977,25.515027,18.716,n.a.
2025-Jan-08,19:30,282.209749,19.289554,18.715,n.a.
2025-Jan-08,20:00,277.972735,12.959094,18.715,n.a.
2025-Jan-08,20:30,273.946814,6.564069,18.715,n.a.
2025-Jan-08,21:00,270.022836,0.138223,18.714,n.a.
2025-Jan-08,21:30,266.100226,-6.287787,18.714,n.a.
2025-Jan-08,22:00,262.078566,-12.683341,18.714,n.a.
2025-Jan-08,22:30,257.849198,-19.014814,18.714,n.a.
2025-Jan-08,23:00,253.285914,-25.242012,18.713,n.a.
2025-Jan-08,23:30,248.23394,-31.313436,18.713,n.a.
2025-Jan-09,00:00,242.49704,-37.159548,18.713,n.a.
2025-Jan-09,00:30,235.824793,-42.683019,18.712,n.a.
2025-Jan-09,01:00,227.908565,-47.745242,18.712,n.a.
2025-Jan-09,01:30,218.410113,-52.150607,18.712,n.a.
2025-Jan-09,02:00,207.071131,-55.637395,18.712,n.a.
2025-Jan-09,02:30,193.948917,-57.898912,18.711,n.a.
2025-Jan-09,03:00,179.683437,-58.665193,18.711,n.a.
2025-Jan-09,03:30,165.446592,-57.828115,18.711,n.a.
2025-Jan-09,04:00,152.395416,-55.505299,18.710,n.a.
2025-Jan-09,04:30,141.141047,-51.970961,18.710,n.a.
2025-Jan-09,05:00,131.720283,-47.531004,18.710,n.a.
2025-Jan-09,05:30,123.867179,-42.44429,18.710,n.a.
2025-Jan-09,06:00,117.24331,-36.903573,18.709,n.a.
2025-Jan-09,06:30,111.542423,-31.045275,18.709,n.a.
2025-Jan-09,07:00,106.516731,-24.965216,18.709,n.a.
2025-Jan-09,07:30,101.972156,-18.731934,18.708,n.a.
2025-Jan-09,08:00,97.755479,-12.396286,18.708,n.a.
2025-Jan-09,08:30,93.74152,-5.998066,18.708,n.a.
2025-Jan-09,09:00,89.822201,0.429328,18.707,n.a.
2025-Jan-09,09:30,85.897304,6.855363,18.707,n.a.
2025-Jan-09,10:00,81.866088,13.249349,18.707,n.a.
2025-Jan-09,10:30,77.61884,19.577374,18.707,n.a.
2025-Jan-09,11:00,73.027418,25.798676,18.706,n.a.
2025-Jan-09,11:30,67.933977,31.860785,18.706,n.a.
2025-Jan-09,12:00,62.137783,37.692574,18.706,n.a.
2025-Jan-09,12:30,55.382393,43.194178,18.705,n.a.
2025-Jan-09,13:00,47.352508,48.223103,18.705,n.a.
2025-Jan-09,13:30,37.706306,52.578273,18.705,n.a.
2025-Jan-09,14:00,26.194238,55.991789,18.705,n.a.
2025-Jan-09,14:30,12.907237,58.153571,18.704,n.a.
2025-Jan-09,15:00,358.540386,58.798978,18.704,n.a.
2025-Jan-09,18:00,296.620806,36.549233,18.702,n.a.
2025-Jan-09,18:30,290.983296,30.66473,18.702,n.a.
2025-Jan-09,19:00,286.004173,24.566119,18.702,n.a.
2025-Jan-09,19:30,281.492377,18.320115,18.701,n.a.
2025-Jan-09,20:00,277.296991,11.976383,18.701,n.a.
2025-Jan-09,20:30,273.294374,5.573993,18.701,n.a.
